source_type,source_file,title,programa,ciclo,section,content
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,1,id: 1 question: ¿Cuántos cursos hay por facultad? intent: count chart_type: bar table: silabos dimension: facultad metric_or_operation: COUNT
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,2,id: 2 question: Cantidad de sílabos por programa de estudio intent: count chart_type: bar table: silabos dimension: programa_estudio metric_or_operation: COUNT
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,3,id: 3 question: Cuántos cursos existen por sede intent: count chart_type: bar table: silabos dimension: sede metric_or_operation: COUNT
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,4,id: 4 question: Conteo de asignaturas por modalidad intent: count chart_type: pie table: silabos dimension: modalidad_estudio metric_or_operation: COUNT
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,5,id: 5 question: Distribución de cursos por ciclo intent: count chart_type: bar table: silabos dimension: ciclo metric_or_operation: COUNT
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,6,id: 6 question: Cuántos cursos hay en total intent: count table: silabos metric_or_operation: COUNT
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,7,id: 7 question: Número de sílabos registrados intent: count table: silabos metric_or_operation: COUNT
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,8,id: 8 question: Total de asignaturas por área de formación intent: count chart_type: bar table: malla_curricular dimension: area_formacion metric_or_operation: COUNT
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,9,id: 9 question: Cuántos cursos por tipo de curso intent: count chart_type: pie table: malla_curricular dimension: tipo_curso metric_or_operation: COUNT
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,10,id: 10 question: Cantidad de materias por naturaleza de curso intent: count chart_type: bar table: malla_curricular dimension: naturaleza_curso metric_or_operation: COUNT
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,11,id: 11 question: Distribución de cursos por facultad en Lima intent: count chart_type: bar table: silabos dimension: facultad metric_or_operation: COUNT filters: sede=Lima
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,12,id: 12 question: Cuántos sílabos hay en Juliaca intent: count chart_type: bar table: silabos dimension: programa_estudio metric_or_operation: COUNT filters: sede=Juliaca
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,13,id: 13 question: Conteo de cursos por programa en Tarapoto intent: count chart_type: bar table: silabos dimension: programa_estudio metric_or_operation: COUNT filters: sede=Tarapoto
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,14,id: 14 question: Cuántos cursos hay en modalidad presencial intent: count chart_type: bar table: silabos dimension: facultad metric_or_operation: COUNT filters: modalidad=presencial
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,15,id: 15 question: Cantidad de asignaturas semipresenciales intent: count chart_type: bar table: silabos dimension: programa_estudio metric_or_operation: COUNT filters: modalidad=semipresencial
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,16,id: 16 question: Cuántos cursos virtuales hay por facultad intent: count chart_type: bar table: silabos dimension: facultad metric_or_operation: COUNT filters: modalidad=virtual
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,Ingeniería de Sistemas,,17,id: 17 question: Distribución de cursos por ciclo en Ingeniería de Sistemas intent: count chart_type: bar table: silabos dimension: ciclo metric_or_operation: COUNT filters: programa=Sistemas
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,Enfermería,,18,id: 18 question: Cuántas asignaturas tiene Enfermería intent: count table: silabos metric_or_operation: COUNT filters: programa=Enfermeria
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,Administración,,19,id: 19 question: Conteo de cursos de Administración por ciclo intent: count chart_type: bar table: silabos dimension: ciclo metric_or_operation: COUNT filters: programa=Administracion
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,Teología,,20,id: 20 question: Cuántos sílabos tiene la facultad de Teología intent: count table: silabos metric_or_operation: COUNT filters: facultad=Teologia
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,21,id: 21 question: Total de créditos por programa de estudio intent: aggregate chart_type: bar table: plan_estudios dimension: programa_estudio metric_or_operation: SUM(total_creditos)
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,22,id: 22 question: Promedio de créditos por ciclo intent: aggregate chart_type: bar table: malla_curricular dimension: ciclo metric_or_operation: AVG(creditos)
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,23,id: 23 question: Suma de horas teóricas por facultad intent: aggregate chart_type: bar table: silabos dimension: facultad metric_or_operation: SUM(horas_teoricas)
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,24,id: 24 question: Total de horas prácticas por programa intent: aggregate chart_type: bar table: silabos dimension: programa_estudio metric_or_operation: SUM(horas_practicas)
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,25,id: 25 question: Promedio de créditos por área de formación intent: aggregate chart_type: bar table: malla_curricular dimension: area_formacion metric_or_operation: AVG(creditos)
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,26,id: 26 question: Carga horaria total por sede intent: aggregate chart_type: bar table: silabos dimension: sede metric_or_operation: SUM(horas_totales)
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,Ingeniería de Sistemas,,27,id: 27 question: Máximo de créditos por curso en Sistemas intent: aggregate table: malla_curricular metric_or_operation: MAX(creditos) filters: programa=Sistemas
training_examples,data/knowledge/extracted/_plain/jomelai_reportes_entrenamiento.csv,jomelai reportes entrenamiento,,,28,id: 28 question: Mínimo de horas teóricas por programa intent: aggregate chart_type: bar table: silabos dimension: programa_estudio metric_or_operation: MIN(horas_teoricas)
