sede;facultad;programa_estudio;modalidad_estudio;curso;ciclo;grupo;creditos;horas_teoricas;horas_practicas;sumilla;unidad;titulo_unidad;ra_unitario;sesion;ra_sesion;aprendizaje_autonomo;referencias_bibliograficas;enlaces_internet
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Introducción al problema central de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 1;Implementa un problema contextualizado relacionado con fundamentos de programación en la sesión 1 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 1 y registra reflexión breve sobre servicio, integridad y mejora continua.;Stallings W. Data and Computer Communications. Pearson 2017;https://www.oracle.com/database/technologies
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Principios y criterios iniciales de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 2;Evalúa una evidencia de aprendizaje relacionado con fundamentos de programación en la sesión 2 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 2 y registra reflexión breve sobre servicio, integridad y mejora continua.;Russell S. Artificial Intelligence A Modern Approach. Pearson 2021;https://www.iso.org/isoiec-27001-information-security.html
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Fundamentos conceptuales de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 3;Interpreta un escenario institucional relacionado con fundamentos de programación en la sesión 3 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 3 y registra reflexión breve sobre servicio, integridad y mejora continua.;Kimball R. The Data Warehouse Toolkit. Wiley 2013;https://scikit-learn.org/stable
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Marco disciplinar aplicado de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 4;Construye una práctica guiada relacionado con fundamentos de programación en la sesión 4 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 4 y registra reflexión breve sobre servicio, integridad y mejora continua.;Pressman R. Ingeniería del software. McGraw Hill 2021;https://docs.python.org/es/3
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Bases del desempeño profesional de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 5;Valida un recurso técnico relacionado con fundamentos de programación en la sesión 5 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 5 y registra reflexión breve sobre servicio, integridad y mejora continua.;Elmasri R. Fundamentals of Database Systems. Pearson 2020;https://www.postgresql.org/docs
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Introducción al problema central de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 6;Compara un informe breve relacionado con fundamentos de programación en la sesión 6 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 6 y registra reflexión breve sobre servicio, integridad y mejora continua.;Stallings W. Data and Computer Communications. Pearson 2017;https://www.oracle.com/database/technologies
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Principios y criterios iniciales de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 7;Documenta una decisión profesional relacionado con fundamentos de programación en la sesión 7 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 7 y registra reflexión breve sobre servicio, integridad y mejora continua.;Russell S. Artificial Intelligence A Modern Approach. Pearson 2021;https://www.iso.org/isoiec-27001-information-security.html
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Fundamentos conceptuales de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 8;Resuelve una simulación académica relacionado con fundamentos de programación en la sesión 8 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 8 y registra reflexión breve sobre servicio, integridad y mejora continua.;Kimball R. The Data Warehouse Toolkit. Wiley 2013;https://scikit-learn.org/stable
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Marco disciplinar aplicado de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 9;Clasifica un caso aplicado relacionado con fundamentos de programación en la sesión 9 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 9 y registra reflexión breve sobre servicio, integridad y mejora continua.;Pressman R. Ingeniería del software. McGraw Hill 2021;https://docs.python.org/es/3
Lima;Facultad de Ingeniería y Arquitectura;Ingeniería de Sistemas;Presencial;Fundamentos de Programación;I;A;4;3;2;El curso desarrolla pensamiento algorítmico, estructuras básicas de programación y resolución de problemas computacionales, integrando buenas prácticas, documentación, pruebas iniciales y responsabilidad ética en contextos académicos y organizacionales.;Unidad I;Bases del desempeño profesional de Fundamentos de Programación;Desarrolla competencias de la Unidad I aplicando fundamentos de Fundamentos de Programación para resolver situaciones académicas y profesionales con rigor técnico, ética cristiana adventista y vocación de servicio.;Sesión 10;Prioriza un procedimiento clave relacionado con fundamentos de programación en la sesión 10 de la Unidad I, usando criterios verificables y evidencia documentada.;Revisa lectura asignada, elabora ficha de aplicación sobre Fundamentos de Programación, resuelve actividad individual 10 y registra reflexión breve sobre servicio, integridad y mejora continua.;Elmasri R. Fundamentals of Database Systems. Pearson 2020;https://www.postgresql.org/docs
